Source,Target,Type,Label,Weight
186654805,51725443,Undirected,,1
186654805,56564020,Undirected,,1
186654805,62279051,Undirected,,1
186654805,64076431,Undirected,,1
186654805,64503362,Undirected,,1
186654805,66419340,Undirected,,1
186654805,66887829,Undirected,,1
186654805,67665885,Undirected,,1
186654805,68603392,Undirected,,1
186654805,70860040,Undirected,,1
186654805,71135622,Undirected,,1
186654805,71543389,Undirected,,1
186654805,73125431,Undirected,,1
186654805,77648431,Undirected,,1
186654805,79932545,Undirected,,1
186654805,82707968,Undirected,,1
186654805,88097903,Undirected,,1
186654805,88993014,Undirected,,1
186654805,89039452,Undirected,,1
186654805,92460519,Undirected,,1
186654805,92885561,Undirected,,1
186654805,93019975,Undirected,,1
186654805,94594146,Undirected,,1
186654805,95900537,Undirected,,1
186654805,96185270,Undirected,,1
186654805,100200753,Undirected,,1
186654805,102808126,Undirected,,1
186654805,103244476,Undirected,,1
186654805,104965563,Undirected,,1
186654805,106810955,Undirected,,1
186654805,107917606,Undirected,,1
186654805,108321618,Undirected,,1
186654805,108444820,Undirected,,1
186654805,110601651,Undirected,,1
186654805,112746882,Undirected,,1
186654805,113309500,Undirected,,1
186654805,113369848,Undirected,,1
186654805,114540656,Undirected,,1
186654805,119451890,Undirected,,1
186654805,120862418,Undirected,,1
186654805,121823716,Undirected,,1
186654805,126424937,Undirected,,1
186654805,127726433,Undirected,,1
186654805,127814620,Undirected,,1
186654805,131052503,Undirected,,1
186654805,131636528,Undirected,,1
186654805,131761731,Undirected,,1
186654805,131841649,Undirected,,1
186654805,132506473,Undirected,,1
186654805,132522754,Undirected,,1
186654805,133268116,Undirected,,1
186654805,133348772,Undirected,,1
186654805,134354572,Undirected,,1
186654805,135442367,Undirected,,1
186654805,139141339,Undirected,,1
186654805,139599695,Undirected,,1
186654805,140476257,Undirected,,1
186654805,141447593,Undirected,,1
186654805,142041351,Undirected,,1
186654805,143274320,Undirected,,1
186654805,143478699,Undirected,,1
186654805,145120488,Undirected,,1
186654805,147347281,Undirected,,1
186654805,149080720,Undirected,,1
186654805,149314166,Undirected,,1
186654805,152299291,Undirected,,1
186654805,152567371,Undirected,,1
186654805,153003421,Undirected,,1
186654805,153465375,Undirected,,1
186654805,153492091,Undirected,,1
186654805,154378642,Undirected,,1
186654805,154590775,Undirected,,1
186654805,155748843,Undirected,,1
186654805,157585112,Undirected,,1
186654805,157622712,Undirected,,1
186654805,157815459,Undirected,,1
186654805,158140201,Undirected,,1
186654805,158525449,Undirected,,1
186654805,162922536,Undirected,,1
